## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results_illumina/SRR2584863/SRR2584863_chr.sorted.bam --OUTPUT results_illumina/SRR2584863/SRR2584863_chr_markdup.bam --METRICS_FILE results_illumina/SRR2584863/SRR2584863_chr_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 09 14:20:27 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	19406	1533587	19569	19938	12177	17281	0	0.015143	67536246

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	1499406	1499406
2.0	1.977548	16540	16540
3.0	2.933149	344	344
4.0	3.867295	12	12
5.0	4.780467	3	3
6.0	5.673137	1	1
7.0	6.545766	0	0
8.0	7.398802	0	0
9.0	8.232686	0	0
10.0	9.047848	0	0
11.0	9.844708	0	0
12.0	10.623677	0	0
13.0	11.385157	0	0
14.0	12.12954	0	0
15.0	12.857211	0	0
16.0	13.568545	0	0
17.0	14.263907	0	0
18.0	14.943658	0	0
19.0	15.608147	0	0
20.0	16.257717	0	0
21.0	16.892703	0	0
22.0	17.513432	0	0
23.0	18.120225	0	0
24.0	18.713395	0	0
25.0	19.293246	0	0
26.0	19.86008	0	0
27.0	20.414186	0	0
28.0	20.955852	0	0
29.0	21.485357	0	0
30.0	22.002973	0	0
31.0	22.508969	0	0
32.0	23.003603	0	0
33.0	23.487132	0	0
34.0	23.959805	0	0
35.0	24.421866	0	0
36.0	24.873553	0	0
37.0	25.315098	0	0
38.0	25.74673	0	0
39.0	26.168672	0	0
40.0	26.58114	0	0
41.0	26.984347	0	0
42.0	27.378501	0	0
43.0	27.763806	0	0
44.0	28.140461	0	0
45.0	28.508659	0	0
46.0	28.86859	0	0
47.0	29.22044	0	0
48.0	29.56439	0	0
49.0	29.900618	0	0
50.0	30.229297	0	0
51.0	30.550597	0	0
52.0	30.864683	0	0
53.0	31.171717	0	0
54.0	31.471858	0	0
55.0	31.76526	0	0
56.0	32.052075	0	0
57.0	32.33245	0	0
58.0	32.606531	0	0
59.0	32.874458	0	0
60.0	33.136369	0	0
61.0	33.3924	0	0
62.0	33.642682	0	0
63.0	33.887346	0	0
64.0	34.126516	0	0
65.0	34.360317	0	0
66.0	34.588868	0	0
67.0	34.812288	0	0
68.0	35.030691	0	0
69.0	35.244191	0	0
70.0	35.452898	0	0
71.0	35.656919	0	0
72.0	35.856359	0	0
73.0	36.051322	0	0
74.0	36.241907	0	0
75.0	36.428213	0	0
76.0	36.610337	0	0
77.0	36.788371	0	0
78.0	36.962408	0	0
79.0	37.132538	0	0
80.0	37.298848	0	0
81.0	37.461424	0	0
82.0	37.62035	0	0
83.0	37.775708	0	0
84.0	37.927578	0	0
85.0	38.076038	0	0
86.0	38.221164	0	0
87.0	38.363033	0	0
88.0	38.501716	0	0
89.0	38.637286	0	0
90.0	38.769812	0	0
91.0	38.899362	0	0
92.0	39.026004	0	0
93.0	39.149802	0	0
94.0	39.270821	0	0
95.0	39.389123	0	0
96.0	39.504769	0	0
97.0	39.617818	0	0
98.0	39.728329	0	0
99.0	39.836359	0	0
100.0	39.941964	0	0

