## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results_illumina/SRR2584863/SRR2584863_plasmid_0.sorted.bam --OUTPUT results_illumina/SRR2584863/SRR2584863_plasmid_0_markdup.bam --METRICS_FILE results_illumina/SRR2584863/SRR2584863_plasmid_0_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 09 14:18:08 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	8953	5548	35	3086469	8004	167	0	0.415881	90297

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	5235	5235
2.0	1.940407	133	133
3.0	2.824774	9	9
4.0	3.656439	1	1
5.0	4.438543	2	2
6.0	5.17404	1	1
7.0	5.865708	0	0
8.0	6.516157	0	0
9.0	7.127844	0	0
10.0	7.70308	0	0
11.0	8.244036	0	0
12.0	8.752755	0	0
13.0	9.231159	0	0
14.0	9.681053	0	0
15.0	10.104138	0	0
16.0	10.50201	0	0
17.0	10.876171	0	0
18.0	11.228036	0	0
19.0	11.558932	0	0
20.0	11.870109	0	0
21.0	12.162743	0	0
22.0	12.437938	0	0
23.0	12.696733	0	0
24.0	12.940106	0	0
25.0	13.168976	0	0
26.0	13.384208	0	0
27.0	13.586613	0	0
28.0	13.776956	0	0
29.0	13.955956	0	0
30.0	14.12429	0	0
31.0	14.282592	0	0
32.0	14.43146	0	0
33.0	14.571457	0	0
34.0	14.703111	0	0
35.0	14.82692	0	0
36.0	14.943351	0	0
37.0	15.052843	0	0
38.0	15.155811	0	0
39.0	15.252642	0	0
40.0	15.343703	0	0
41.0	15.429337	0	0
42.0	15.509869	0	0
43.0	15.585601	0	0
44.0	15.65682	0	0
45.0	15.723795	0	0
46.0	15.786779	0	0
47.0	15.84601	0	0
48.0	15.90171	0	0
49.0	15.954092	0	0
50.0	16.003352	0	0
51.0	16.049676	0	0
52.0	16.09324	0	0
53.0	16.134208	0	0
54.0	16.172735	0	0
55.0	16.208965	0	0
56.0	16.243037	0	0
57.0	16.275078	0	0
58.0	16.30521	0	0
59.0	16.333546	0	0
60.0	16.360193	0	0
61.0	16.385253	0	0
62.0	16.408819	0	0
63.0	16.430981	0	0
64.0	16.451822	0	0
65.0	16.471421	0	0
66.0	16.489852	0	0
67.0	16.507185	0	0
68.0	16.523485	0	0
69.0	16.538814	0	0
70.0	16.553229	0	0
71.0	16.566785	0	0
72.0	16.579533	0	0
73.0	16.591522	0	0
74.0	16.602796	0	0
75.0	16.613398	0	0
76.0	16.623369	0	0
77.0	16.632745	0	0
78.0	16.641563	0	0
79.0	16.649855	0	0
80.0	16.657653	0	0
81.0	16.664986	0	0
82.0	16.671882	0	0
83.0	16.678367	0	0
84.0	16.684466	0	0
85.0	16.690202	0	0
86.0	16.695595	0	0
87.0	16.700667	0	0
88.0	16.705437	0	0
89.0	16.709923	0	0
90.0	16.714141	0	0
91.0	16.718108	0	0
92.0	16.721839	0	0
93.0	16.725347	0	0
94.0	16.728646	0	0
95.0	16.731749	0	0
96.0	16.734667	0	0
97.0	16.73741	0	0
98.0	16.739991	0	0
99.0	16.742417	0	0
100.0	16.744699	0	0

