#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	87172	88116	+	leuO	1-945/945	===============	0/0	100.00	98.09	card	LR730402.1:740042-740987	leuO a LysR family transcription factor exists in a wide variety of bacteria of the family Enterobacteriaceae and is involved in the regulation of as yet unidentified genes affecting the stress response and pathogenesis expression. LeuO is also an activator of the MdtNOP efflux pump.	disinfecting_agents_and_antiseptics;nucleoside
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	453321	456470	-	acrB	1-3150/3150	===============	0/0	100.00	99.94	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	456493	457686	-	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	100.00	card	U00096.3:485619-484425	AcrA is a subunit of the AcrAB-TolC multidrug efflux system found in E. coli.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	540205	540537	+	Escherichia_coli_emrE	1-333/333	===============	0/0	100.00	99.10	card	Z11877.1:485-818	Member of the small MDR (multidrug resistance) family of transporters; in Escherichia coli this protein provides resistance against a number of positively charged compounds including ethidium bromide and erythromycin; proton-dependent secondary transporter which exchanges protons for compound translocation.	macrolide
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	703151	703828	-	kdpE	1-678/678	===============	0/0	100.00	99.85	card	U00096.3:721733-721055	kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.	aminoglycoside
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	876225	877457	+	Escherichia_coli_mdfA	1-1233/1233	===============	0/0	100.00	98.38	card	JQ394987.1:0-1233	Multidrug efflux pump in E. coli. This multidrug efflux system was originally identified as the Cmr/CmlA chloramphenicol exporter.	disinfecting_agents_and_antiseptics;phenicol;tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	983713	985461	+	msbA	1-1749/1749	===============	0/0	100.00	100.00	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	1036104	1037181	-	OmpA	18-1125/1125	========/======	2/30	95.82	83.66	card	FO834906.1:2175099-2173974	OmpA is a porin that confers resistance to beta-lactam antibiotics.	peptide
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	1128833	1130059	-	mdtG	1-1227/1227	===============	0/0	100.00	99.43	card	CP000800.1:1192954-1191727	The MdtG protein also named YceE appears to be a member of the major facilitator superfamily of transporters and it has been reported when overexpressed to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.	phosphonic_acid
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	1138690	1139898	-	mdtH	1-1209/1209	===============	0/0	100.00	97.93	card	U00096.1:1125326-1124117	Multidrug resistance protein MdtH.	fluoroquinolone
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	1292303	1292716	-	H-NS	1-414/414	===============	0/0	100.00	99.52	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;fluoroquinolone;macrolide;penicillin_beta-lactam;tetracycline
results_illumina/SRR2584863/SRR2584863_chr_consensus.fasta	NC_012967.1	1587340	1587723	+	marA	1-384/384	===============	0/0	100.00	100.00	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;monobactam;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
